,OPERADORA,ESTADO,MES,ANO_BASE,AREA_TRABALHO,RESPONSAVEL,IDADE,SEXO,SATISFACAO_GERAL,USOU_SEIS_MESES_ANTES,USOU_ATEND_TELEFONICO,USOU_ATEND_INTERNET,USOU_ATEND_LOJA,USOU_ATEND_CANAIS,PROBLEMAS_CREDITO,PROBLEMAS_LIGACOES,PROBLEMAS_3G4G,OUTRA_OPERADORA,CIDADE_x,COD_IBGE,QTD_RESIDENTES,RENDA_MENSAL,PESO,SATISFACAO,REGIAO,CIDADE_y,POPULACAO,RENDA_PERCAPITA,PER_CLASSE_A,PER_CLASSE_B,PER_CLASSE_C,PER_CLASSE_D,PER_CLASSE_E
11205,OI,CE,out,2018,2,1,39,2,1,0,0,0,0,0,1,0,0,0,FORTALEZA,2304400.0,2,1000,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11206,OI,CE,out,2018,2,1,39,1,1,0,1,1,1,1,1,1,1,1,FORTALEZA,2304400.0,2,1000,1.657327825,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11207,TIM,CE,out,2018,2,1,42,2,0,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,2,4000,2.307515945,5,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11208,OI,CE,out,2018,2,1,35,2,0,0,0,0,0,0,1,0,0,0,FORTALEZA,2304400.0,1,5000,1.657327825,5,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11209,OI,CE,out,2018,2,1,40,2,1,1,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,1,2500,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11210,OI,CE,out,2018,2,1,22,1,0,0,0,0,0,0,0,1,0,0,FORTALEZA,2304400.0,2,1500,1.657327825,5,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11211,CLARO,CE,out,2018,2,1,43,2,1,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,1,1500,1.9328453719999998,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11212,VIVO,CE,out,2018,2,1,30,2,0,1,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,3,7000,0.29387398800000003,7,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11213,TIM,CE,out,2018,2,1,31,1,0,0,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,4,939,2.307515945,7,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11214,TIM,CE,out,2018,2,1,34,1,0,0,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,3,1380,2.307515945,7,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11215,OI,CE,out,2018,2,1,30,1,0,1,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,1,1000,1.657327825,6,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11216,OI,CE,out,2018,2,1,37,1,1,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,2,2000,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11217,OI,CE,out,2018,2,1,24,2,1,1,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,2,1800,1.657327825,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11218,OI,CE,out,2018,2,1,55,1,1,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,6,950,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11219,OI,CE,out,2018,2,1,60,2,1,0,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,1,1493,1.657327825,9,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11220,OI,CE,out,2018,2,1,40,1,0,1,1,1,1,1,1,1,1,1,FORTALEZA,2304400.0,1,650,1.657327825,3,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11221,TIM,CE,out,2018,2,1,31,1,1,1,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,3,954,2.307515945,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11222,TIM,CE,out,2018,2,1,33,2,1,1,1,1,1,1,0,1,1,1,FORTALEZA,2304400.0,3,2000,2.307515945,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11223,TIM,CE,out,2018,2,1,27,1,1,1,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,2,2000,2.307515945,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11224,TIM,CE,out,2018,2,1,47,2,0,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,1,3500,2.307515945,1,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11225,CLARO,CE,out,2018,2,1,52,1,1,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,1,954,1.9328453719999998,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
